1		I		0		6885
2		P		120		472
3		B		40		1219
4		B		80		240
5		P		240		207
6		B		160		86
7		B		200		79
8		P		360		501
9		B		280		195
10		B		320		120
11		I		480		830
12		B		400		329
13		B		440		78
14		P		600		854
15		B		520		428
16		B		560		369
17		P		720		942
18		B		640		334
19		B		680		333
20		P		840		888
21		B		760		310
22		B		800		261
23		I		960		1775
24		B		880		49
25		B		920		243
26		P		1080		932
27		B		1000		306
28		B		1040		255
29		P		1200		1047
30		B		1120		287
31		B		1160		259
32		P		1320		1233
33		B		1240		349
34		B		1280		318
35		I		1440		3110
36		B		1360		183
37		B		1400		170
38		P		1560		692
39		B		1480		198
40		B		1520		261
41		P		1680		455
42		B		1600		151
43		B		1640		119
44		P		1800		410
45		B		1720		113
46		B		1760		149
47		I		1920		3074
48		B		1840		140
49		B		1880		118
50		P		2040		610
51		B		1960		146
52		B		2000		165
53		P		2160		598
54		B		2080		119
55		B		2120		136
56		P		2280		577
57		B		2200		119
58		B		2240		209
59		I		2400		3155
60		B		2320		144
61		B		2360		162
62		P		2520		543
63		B		2440		183
64		B		2480		208
65		P		2640		619
66		B		2560		197
67		B		2600		152
68		P		2760		598
69		B		2680		159
70		B		2720		214
71		I		2880		3661
72		B		2800		251
73		B		2840		208
74		P		3000		727
75		B		2920		242
76		B		2960		272
77		P		3120		726
78		B		3040		253
79		B		3080		243
80		P		3240		764
81		B		3160		239
82		B		3200		266
83		I		3360		3830
84		B		3280		344
85		B		3320		330
86		P		3480		695
87		B		3400		252
88		B		3440		233
89		P		3600		681
90		B		3520		208
91		B		3560		210
92		P		3720		643
93		B		3640		187
94		B		3680		195
95		I		3840		3206
96		B		3760		217
97		B		3800		191
98		P		3960		646
99		B		3880		153
100		B		3920		228
101		P		4080		615
102		B		4000		182
103		B		4040		197
104		P		4200		780
105		B		4120		222
106		B		4160		251
107		I		4320		3606
108		B		4240		264
109		B		4280		243
110		P		4440		823
111		B		4360		263
112		B		4400		245
113		P		4560		903
114		B		4480		271
115		B		4520		268
116		P		4680		1011
117		B		4600		313
118		B		4640		309
119		I		4800		3888
120		B		4720		332
121		B		4760		326
122		P		4920		999
123		B		4840		294
124		B		4880		314
125		P		5040		1014
126		B		4960		357
127		B		5000		388
128		P		5160		1257
129		B		5080		450
130		B		5120		509
131		I		5280		4103
132		B		5200		533
133		B		5240		473
134		P		5400		5009
135		B		5320		597
136		B		5360		873
137		P		5520		2643
138		B		5440		1139
139		B		5480		1039
140		P		5640		2324
141		B		5560		833
142		B		5600		969
143		I		5760		6666
144		B		5680		992
145		B		5720		808
146		P		5880		2274
147		B		5800		590
148		B		5840		693
149		P		6000		2178
150		B		5920		960
151		B		5960		1230
152		P		6120		2809
153		B		6040		1165
154		B		6080		1081
155		I		6240		6815
156		B		6160		1124
157		B		6200		1194
158		P		6360		2609
159		B		6280		1194
160		B		6320		1156
161		P		6480		2460
162		B		6400		1014
163		B		6440		1107
164		P		6600		2561
165		B		6520		1265
166		B		6560		1038
167		I		6720		5999
168		B		6640		842
169		B		6680		771
170		P		6840		2072
171		B		6760		900
172		B		6800		908
173		P		6960		2608
174		B		6880		803
175		B		6920		731
176		P		7080		2594
177		B		7000		973
178		B		7040		1331
179		I		7200		7143
180		B		7120		1162
181		B		7160		1028
182		P		7320		2605
183		B		7240		1082
184		B		7280		1221
185		P		7440		2808
186		B		7360		1240
187		B		7400		1241
188		P		7560		2765
189		B		7480		1110
190		B		7520		1294
191		I		7680		6882
192		B		7600		1355
193		B		7640		1063
194		P		7800		3001
195		B		7720		536
196		B		7760		647
197		P		7920		3617
198		B		7840		1010
199		B		7880		1192
200		P		8040		3549
201		B		7960		813
202		B		8000		907
203		I		8160		6857
204		B		8080		1021
205		B		8120		1197
206		P		8280		2776
207		B		8200		1039
208		B		8240		1117
209		P		8400		2922
210		B		8320		1167
211		B		8360		1174
212		P		8520		2980
213		B		8440		1275
214		B		8480		1098
215		I		8640		6639
216		B		8560		844
217		B		8600		869
218		P		8760		2467
219		B		8680		975
220		B		8720		951
221		P		8880		2737
222		B		8800		821
223		B		8840		744
224		P		9000		2856
225		B		8920		981
226		B		8960		1219
227		I		9120		6849
228		B		9040		1159
229		B		9080		1029
230		P		9240		2718
231		B		9160		1204
232		B		9200		1163
233		P		9360		2946
234		B		9280		1152
235		B		9320		1277
236		P		9480		2802
237		B		9400		1178
238		B		9440		1152
239		I		9600		6631
240		B		9520		1149
241		B		9560		910
242		P		9720		2819
243		B		9640		748
244		B		9680		791
245		P		9840		2269
246		B		9760		862
247		B		9800		862
248		P		9960		2044
249		B		9880		641
250		B		9920		585
251		I		10080		3847
252		B		10000		540
253		B		10040		765
254		P		10200		1505
255		B		10120		763
256		B		10160		720
257		P		10320		1384
258		B		10240		780
259		B		10280		749
260		P		10440		1498
261		B		10360		806
262		B		10400		750
263		I		10560		3550
264		B		10480		787
265		B		10520		957
266		P		10680		1561
267		B		10600		1011
268		B		10640		887
269		P		10800		1636
270		B		10720		644
271		B		10760		778
272		P		10920		1407
273		B		10840		881
274		B		10880		1000
275		I		11040		3689
276		B		10960		1182
277		B		11000		1080
278		P		11160		1409
279		B		11080		850
280		B		11120		813
281		P		11280		1207
282		B		11200		879
283		B		11240		796
284		P		11400		1127
285		B		11320		738
286		B		11360		796
287		I		11520		2393
288		B		11440		747
289		B		11480		759
290		P		11640		987
291		B		11560		653
292		B		11600		446
293		P		11760		804
294		B		11680		607
295		B		11720		579
296		P		11880		621
297		B		11800		343
298		B		11840		343
299		I		12000		1116
300		B		11920		275
301		B		11960		234
302		P		12120		539
303		B		12040		138
304		B		12080		196
305		P		12240		308
306		B		12160		178
307		B		12200		168
308		P		12360		875
309		B		12280		308
310		B		12320		346
311		I		12480		2732
312		B		12400		521
313		B		12440		588
314		P		12600		1188
315		B		12520		636
316		B		12560		641
317		P		12720		1464
318		B		12640		721
319		B		12680		610
320		P		12840		1483
321		B		12760		832
322		B		12800		846
323		I		12960		3750
324		B		12880		1011
325		B		12920		772
326		P		13080		1536
327		B		13000		780
328		B		13040		784
329		P		13200		1525
330		B		13120		896
331		B		13160		835
332		P		13320		1792
333		B		13240		869
334		B		13280		810
335		I		13440		4281
336		B		13360		958
337		B		13400		854
338		P		13560		2274
339		B		13480		1108
340		B		13520		1268
341		P		13680		3016
342		B		13600		1648
343		B		13640		1625
344		P		13800		3436
345		B		13720		1644
346		B		13760		1834
347		I		13920		5695
348		B		13840		1929
349		B		13880		1869
350		P		14040		2620
351		B		13960		1596
352		B		14000		1394
353		P		14160		2658
354		B		14080		1253
